fraudulent,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,located_in_US,low_required_education,money_in_title,money_in_description,consecutive_punctuation,des_avg_sent_length,has_no_company_profile,has_short_company_profile,has_short_description,has_short_requirements
1,111,469,104,74,1,1,0,1,0.0,0.0,0.0,0,49.0,0,0,0,0
1,65,160,88,70,1,1,1,0,0.0,0.0,0.0,0,15.1875,0,0,0,0
1,59,319,0,0,1,1,0,1,0.0,0.0,0.0,0,12.333333333333334,0,0,0,1
1,0,36,40,0,0,0,0,1,0.0,0.0,0.0,0,33.625,1,1,0,0
1,0,83,60,67,0,0,0,1,0.0,0.0,0.0,0,54.666666666666664,1,1,0,0
0,85,161,82,0,1,1,0,1,0.0,0.0,0.0,0,18.95,0,0,0,0
1,0,460,110,73,0,0,1,0,0.0,0.0,0.0,0,37.0,1,1,0,0
0,98,36,41,0,1,1,0,1,0.0,0.0,0.0,0,11.36,0,0,0,0
0,60,154,22,217,1,1,0,1,0.0,0.0,0.0,0,6.0,0,0,0,0
1,41,268,85,62,1,1,0,1,1.0,0.0,0.0,0,37.5,0,0,0,0
0,130,26,236,103,1,1,0,1,0.0,0.0,0.0,0,105.33333333333333,0,0,0,0
0,53,56,63,0,0,0,1,0,0.0,0.0,0.0,0,17.428571428571427,0,0,0,0
0,97,168,126,121,1,1,0,1,0.0,0.0,0.0,0,15.75,0,0,0,0
1,125,248,132,0,1,1,1,1,0.0,0.0,0.0,0,13.625,0,0,0,0
0,80,184,60,48,1,1,1,0,0.0,0.0,0.0,0,14.0,0,0,0,0
0,229,163,0,0,1,1,0,0,0.0,0.0,0.0,0,18.055555555555557,0,0,0,1
1,49,135,18,8,1,1,0,0,0.0,0.0,0.0,0,12.0,0,0,0,0
0,111,189,134,42,1,1,1,0,0.0,0.0,0.0,0,8.4,0,0,0,0
1,0,88,0,0,0,0,0,1,0.0,0.0,0.0,0,12.6,1,1,0,1
0,138,20,0,0,1,1,1,1,0.0,0.0,0.0,0,18.375,0,0,0,1
0,55,82,61,29,1,1,1,1,0.0,0.0,0.0,0,17.875,0,0,0,0
0,206,16,41,0,1,1,1,0,0.0,0.0,0.0,0,16.153846153846153,0,0,0,0
